6et1        92.8571% 0.825036446944
tata        82.3529% 0.812033830155
sinet        100% 0.811577712094
columbus        76.4706% 0.801434835148
geant5        66.6667% 0.837512014636
bandcon        100% 0.742870261387
bics        93.3333% 0.793700074666
integra        93.3333% 0.78672591334
rnp        100% 1.0
sanet        100% 0.777319114292
dfn        100% 0.811577712094
surfnet        80% 0.800477993209
colt        100% 0.811577712094
evolink        100% 0.775322336424
