6et1        29.4118% 0.795219855018
tata        29.4118% 0.789280727071
sinet        35.7143% 0.769935818252
columbus        22.2222% 0.789060920781
geant5        23.5294% 0.871435130693
bandcon        46.1538% 0.764170552882
bics        33.3333% 0.772071496524
integra        25% 0.875
rnp        50% 0.719127549535
sanet        36.3636% 0.842865159736
dfn        33.3333% 0.79469343722
surfnet        31.25% 0.803038449398
colt        35.7143% 0.79163004627
evolink        33.3333% 0.716793354854
